,tns_name,DM,DM_err,ra,ra_err,dec,dec_err,fluence,fluence_err,flux,flux_err,exp_up,exp_up_err,exp_low,exp_low_err,notes,li_err,rm_fdf,rm_fdf_err,rm_qu,rm_qu_err,rm_mw,rm_mw_err,dm_mw,pa_chi_squared,depol_frac,li,Time_res(s),Fitburst_DM,Fitburst_DM_err,Widths(s),Widths_err(s),Min_width(s),Min_width_err(s),Num_comps,Duration(s),Rel_arrival_time(s),Scattering_600 MHz(ms),Scattering_err(ms),Bandwith (MHz)
0,FRB20181209A,328.5942,0.0098,98.4137,24,68.5794,13,11.1,1.1,16.9,1.7,37.6,1.5,0.0,0.0,-9999,0.011,-110.3,0.051000000000000004,106.8,0.01,-21,8,47,1.79,-9999.0,0.9,2.56e-06,328.5922648221,0.0098205995,[4.76836e-05],[1.5256e-06],4.76836e-05,1.5256e-06,1.0,0.000576,[0.0],0.114,0.004,400.0
1,FRB20181213A,678.693,0.012,127.8826,26,73.9033,18,8.18,0.89,6.34,0.65,30.8,3.7,35.82,0.79,-9999,0.033,10.2,0.092,10.2,0.10300000000000001,-12,6,44,1.92,0.88,1.09,2.048e-05,678.6903789739,0.011709848,"[7.81006e-05, 4.8295000000000004e-05, 7.031500000000001e-05]","[4.0971e-06, 5.8741e-06, 2.4222000000000003e-06]",4.8295000000000004e-05,5.8741e-06,3.0,0.00268288,"[0.0, 0.0005685534, 0.0019263295]",0.167,0.046,400.0
2,FRB20181214C,632.8323,0.003,175.8997,31,60.0573,25,15.2,1.6,4.5,0.48,26.5,1.6,0.0,0.0,-9999,0.028,23.6,0.20600000000000002,23.8,0.168,6,2,41,2.07,1.8,0.6000000000000001,8.192e-05,632.8271107853,0.0066359291,"[0.0003819561, 6.70608e-05]","[1.55724e-05, 9.6295e-06, 1.402e-05]",6.70608e-05,5.706e-06,2.0,0.00688128,"[0.0, 0.0011205827]",1.599,0.199,400.0
3,FRB20181215B,494.044,0.0059,254.6078,24,47.5892,12,12.5,1.3,14.3,1.4,25.93,0.17,0.0,0.0,-9999,0.009000000000000001,8.6,0.022,8.2,0.028,14,4,43,4.43,1.06,1.02,2.56e-06,494.0440286938,0.0059329251,"[1.38378e-05, 4.96127e-05, 0.0001955089, 6.2866e-05]","[2.059e-07, 8.031e-07, 6.1438e-06, 1.9261e-06]",1.38378e-05,2.059e-07,4.0,0.00063488,"[0.0, 4.66705e-05, 0.0003406335, 0.0004225184]",~0.006,0.0,400.0
4,FRB20181219C,647.68,0.041,17.8866,30,14.2603,30,17.5,1.8,3.87,0.44,11.23,0.87,0.0,0.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9,2,43,-9999.0,-9999.0,<0.21,0.00032768,647.7627975304,0.041207717000000005,[0.0006144941],[2.6744800000000002e-05],0.0006144941,2.6744800000000002e-05,1.0,0.01015808,[0.0],1.052,0.112,400.0
5,FRB20181220A,209.5252,0.0081,348.7085,27,48.3457,18,-9999.0,-9999.0,-9999.0,-9999.0,20.96,0.73,0.0,0.0,"The absolute meridian angle is >2 deg, where the primary beam is unmodeled; flux and fluence are not calculated. ",0.024,97.5,0.379,-0.6000000000000001,0.07,-23,11,46,4.09,-9999.0,0.43,2.048e-05,209.516783742,0.008116322700000001,[7.35997e-05],[4.4525e-06],7.35997e-05,4.4525e-06,1.0,0.0013311999999999998,[0.0],0.213,0.01,400.0
6,FRB20181221A,316.249,0.048,230.4724,15,25.8542,16,15.2,1.6,3.29,0.34,20.036,0.087,0.0,0.0,-9999,0.022,39.0,0.366,-44.3,0.427,7,3,42,10.56,-9999.0,0.42,0.00016384,316.2925302092,0.048222878500000003,[0.0004714656],[2.39461e-05],0.0004714656,2.39461e-05,1.0,0.007864320000000001,[0.0],1.383,0.055,133.3
7,FRB20181221B,1394.855,0.012,315.0145,12,80.9405,13,33.7,3.4,23.3,2.3,73.4,4.2,48.1,5.2,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999.0,0,5.12e-06,1394.8415789314,0.012101029400000001,[0.0002196191],[4.2526e-06],0.0002196191,4.2526e-06,1.0,0.00162816,[0.0],0.275,0.009,>230.7
8,FRB20181222E,327.989,0.0042,50.3806,20,87.1169,27,30.0,3.1,8.66,0.9,328.8,8.8,176.0,12.0,-9999,0.027,-91.8,0.14300000000000002,-92.9,0.132,-11,8,45,1.5,-9999.0,0.7000000000000001,8.192e-05,327.9489669176,0.0047425415,"[0.0002854223, 0.0004016549, 0.0006340380000000001]","[1.16321e-05, 3.7407800000000005e-05, 3.30859e-05]",0.0002854223,1.16321e-05,3.0,0.04112384,"[0.0, 0.0233961598, 0.0381963061]",0.836,0.041,400.0
9,FRB20181223C,112.4522,0.0096,180.9319,23,27.5498,26,4.43,0.49,2.95,0.31,16.95,0.33,0.0,0.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,7,6,40,-9999.0,-9999.0,<0.14,0.00016384,112.4945453433,0.0108309479,[0.0005763087],[2.41191e-05],0.0005763087,2.41191e-05,1.0,0.00311296,[0.0],<0.576,0.0,400.0
10,FRB20181224E,581.838,0.012,239.3002,15,7.2503,18,30.0,3.1,13.7,1.4,17.28,0.18,0.0,0.0,-9999,0.015,1.6,0.078,0.7000000000000001,0.08600000000000001,8,6,44,4.7,-9999.0,0.62,2.048e-05,581.8379523851,0.011599794600000001,"[4.8431200000000005e-05, 0.00022153220000000002, 0.0003357457, 0.0001801556, 0.00040401090000000004]","[1.22281e-05, 5.72798e-05, 1.29797e-05, 1.3790500000000001e-05, 1.75715e-05]",4.8431200000000005e-05,1.22281e-05,5.0,0.00743424,"[0.0, 0.0003586329, 0.0012165793, 0.0021744707, 0.0066996009]",~0.066,0.0,400.0
11,FRB20181225A,349.099,0.037,29.4629,24,65.7124,26,24.8,2.6,3.55,0.42,44.83,0.35,0.0,0.0,Event of the repeating source FRB20180916B. ,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999.0,0,0.00016384,348.7990877239,0.0366582596,"[0.00023144310000000002, 0.0004128003]","[4.52699e-05, 6.27799e-05]",0.00023144310000000002,4.52699e-05,2.0,0.01032192,"[0.0, 0.0042972826000000006]",0.904,0.078,107.9
12,FRB20181226A,348.808,0.01,29.4894,19,65.714,20,9.2,1.0,3.69,0.4,45.06,0.17,0.0,0.0,Event of the repeating source FRB20180916B. ,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999.0,0,0.00016384,348.8022364574,0.0110628611,"[0.0002126397, 0.0008376866]","[9.6399e-06, 4.52114e-05]",0.0002126397,9.6399e-06,2.0,0.00688128,"[0.0, 0.0045136993]",0.53,0.024,177.8
13,FRB20181226D,385.3383,0.0054,120.0764,13,22.1814,14,8.43,0.86,8.5,0.86,19.1,0.0,0.0,0.0,-9999,0.014,64.6,0.055,64.7,0.054,25,8,66,1.49,1.09,1.0,5.12e-06,385.3347769815,0.0053843908000000005,"[1.3809700000000001e-05, 5.43205e-05, 4.0207300000000004e-05, 3.0108800000000002e-05]","[1.8136e-06, 1.1535e-06, 1.0704e-06, 1.2916e-06]",1.3809700000000001e-05,1.8136e-06,4.0,0.00095744,"[0.0, 0.0002298722, 0.00023496430000000002, 0.00047264700000000003]",0.126,0.003,400.0
14,FRB20181226E,308.776,0.013,297.3697,19,73.7039,22,88.5,9.4,56.0,5.8,59.1,1.3,45.63,0.62,-9999,0.022,-1.0,0.218,-0.2,0.182,0,15,45,1.42,-9999.0,0.5700000000000001,8.192e-05,308.7807791432,0.0135252206,[0.0002917822],[1.43786e-05],0.0002917822,1.43786e-05,1.0,0.00311296,[0.0],0.292,0.034,>154.8
15,FRB20181228B,568.5376,0.0062,254.6073,32,63.736,36,-9999.0,-9999.0,-9999.0,-9999.0,31.1,2.3,0.0,0.0,"The absolute meridian angle is >2 deg, where the primary beam is unmodeled; flux and fluence are not calculated. ",0.051000000000000004,-0.1,0.482,-14.1,0.905,-1,7,43,1.49,-9999.0,0.58,0.00065536,568.5076628958,0.0081496428,[0.0003479148],[4.45892e-05],0.0003479148,4.45892e-05,1.0,0.00917504,[0.0],1.137,0.159,76.2
16,FRB20181229A,955.452,0.017,137.1914,26,41.9665,28,5.59,0.62,1.91,0.22,22.88,0.32,0.0,0.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,5,1,44,-9999.0,-9999.0,<0.11,0.00032768,955.4300656323,0.0188793635,[0.0001816172],[2.70166e-05],0.0001816172,2.70166e-05,1.0,0.01212416,[0.0],2.337,0.15,400.0
17,FRB20181231A,1376.94,0.27,29.672,72,21.01,100,2.74,0.44,1.03,0.21,16.1,2.0,0.0,0.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-33,6,44,-9999.0,-9999.0,<0.69,0.00065536,1376.7791861992,0.26762889630000003,[0.00045698580000000003],[9.61755e-05],0.00045698580000000003,9.61755e-05,1.0,0.00851968,[0.0],1.649,0.701,>199.8
18,FRB20181231B,197.3659,0.009,130.8028,24,56.0239,13,56.3,5.7,24.1,2.4,31.4,0.23,0.0,0.0,-9999,0.011,-9.7,0.047,10.5,0.014,-16,3,45,1.32,-9999.0,0.78,5.12e-06,197.3580521174,0.009009647400000001,[3.92565e-05],[4.836e-06],3.92565e-05,4.836e-06,1.0,0.00211968,[0.0],1.344,0.023,400.0
